FOC1,FOC2,FOC3
674.9799805,693.8699951,1032.829956
671.0800171,711.5200195,1061.98999
661.25,700.1400146,1045.77002
665.8300171,696.1699829,1045.900024
660.7800293,696.1799927,1046.449951
919.3400269,692.1599731,1041.47998
1077.219971,682,1044.75
1068.790039,704.4199829,1040.800049
1116.619995,699.8400269,1039.079956
1093.01001,698.0499878,1039.410034
1100.400024,701.0300293,1032
1074.920044,702.9699707,1034.5
1087.410034,701.5200195,1031.839966
1082.069946,689,1032.609985
1076.02002,684.4699707,1031.579956
1075.140015,682.5999756,1041.670044
1072.5,685.8900146,1036.420044
1072.119995,697.789978,1028.329956
1080.160034,684.8599854,1033.609985
1076.390015,685.7399902,1033.109985
1086.390015,699.8599854,1013.320007
1081.280029,690.1300049,996.960022
1087.150024,698.1099854,1030.780029
1060.48999,690.0700073,1016.429993
1076.459961,694.289978,1046.25
1074.439941,711.8400269,1034.400024
1092.77002,696.1900024,1037.030029
1072.839966,691.2700195,1026.660034
1085.359985,465.3999939,1016.109985
1076.48999,472.5700073,1029.030029
1103.719971,473.9299927,1006.210022
1086.26001,465.4400024,1002.690002
1077.069946,472.2799988,1030.140015
1079.040039,459.4100037,1027.77002
1114.98999,471.7999878,1018.380005
1077.819946,463.269989,1046.579956
1051.180054,491.0499878,1043.810059
1085.839966,484.2399902,1040.670044
1060.810059,470.5700073,1036.949951
1085.780029,456.269989,1025.829956
1083.880005,484.8900146,1029.449951
1077.98999,469.9700012,1029.48999
1101.01001,448.2399902,1025
1083.170044,470.7099915,1024.060059
1087.52002,483.6400146,1012.950012
1087.910034,479.5899963,1023.609985
1089.349976,483,1039.449951
1087.650024,477.1900024,1017.650024
1101.839966,475.730011,1022.27002
1081.550049,490.8299866,1026.199951
1093.689941,767.7299805,1004.26001
1066.699951,502.6099854,1030.780029
1096.609985,471.0899963,1017.859985
1086.170044,469.9400024,1030.060059
1070.910034,1139.619995,1032.719971
1087.23999,971.9899902,1037.859985
1078.170044,951.4400024,1039.52002
1065.699951,977.3300171,1021.419983
1070.939941,979.1099854,1038.709961
1093.550049,999.9400024,1047.26001
1072.76001,987.3599854,1021.090027
1061.48999,983.8900146,1035.569946
1073.619995,996.289978,1014.070007
1073.920044,989.7600098,1029.900024
1086.780029,952.3300171,1039.079956
1096.540039,951.8499756,1027.699951
1103.449951,982.0999756,1012.169983
1064.329956,963.8900146,1025.5
1074.310059,991.2999878,1033.26001
1084.869995,967.4099731,1044.530029
1092.73999,983.5200195,1026.810059
1094.359985,952.0100098,1023.869995
1061.810059,962.8499756,1036.880005
1081.119995,933.5700073,1036.180054
1058.77002,897.4699707,1029.339966
1089.02002,704.0999756,1015.090027
1092.079956,705.039978,1033.76001
1060.089966,727.0599976,1022.72998
1059.530029,716.3599854,1019.98999
1063.26001,725.6199951,1018.909973
1069.180054,469.8699951,1034.73999
1082.849976,462.1199951,1035.310059
1083.400024,461.9599915,1027.920044
1094.040039,466.5599976,1035.400024
1099.199951,742.7800293,1026.530029
1076.359985,868.8900146,1029.400024
1068.119995,831.8800049,1016.119995
1089.219971,857.8699951,1032.109985
1078.060059,1031.670044,1024.680054
1076.619995,1204.640015,1023.940002
1077.099976,1213.640015,1000.590027
1090.380005,1193.819946,1017.619995
1092.27002,1196.5,1028.160034
1091.040039,1202.550049,1033.939941
1079.449951,1201.73999,1039.430054
1079.800049,1178.589966,1034.199951
1083.380005,1185.180054,1034.680054
1085.780029,1201.050049,1036.829956
1068.869995,1184.119995,1025.219971
1056.349976,1184.439941,1030.119995
1070.319946,1196.160034,1023.320007
1061.98999,1182.540039,1039.689941
1090.829956,1179.329956,1020.590027
1079.380005,1177.420044,1021.950012
1082.310059,1200.910034,1018.669983
1086.359985,1210.530029,1037.790039
1070.359985,1210.660034,1054.949951
1066.640015,1211.01001,1027
1081.130005,1197.640015,1016.059998
1064.890015,1199.23999,1033.219971
1066.790039,1196.880005,1055.949951
1075.859985,1205.119995,1059.420044
1072.530029,1199.209961,1034
1076.469971,1186.310059,1038.670044
1061.209961,1213.140015,1032.300049
1061.910034,1181.969971,1043.349976
1063.449951,1177.76001,1023.710022
1100.949951,1180.209961,1021.609985
1075.599976,1175.339966,1035.98999
1065.23999,1218.790039,1030.859985
1055.540039,1186.589966,1028.920044
1066.459961,1206.189941,1046.060059
1066.77002,1206.930054,1035.640015
1124.859985,1218.439941,1038.189941
1085.910034,1207.369995,1043.530029
1080.910034,1208.280029,1052.310059
1098.560059,1196.839966,1075.829956
1050.719971,1201.23999,1034.810059
1066.640015,1198.650024,1042.920044
1076.660034,1220.180054,1029.079956
1102.900024,1213.189941,1033.219971
1107.180054,1215.73999,1025.699951
1106.939941,1191.280029,1041.040039
1084.050049,1176.650024,1035.900024
1091.920044,1195.400024,1019.849976
1088.569946,1203.810059,1026.609985
1100.900024,1194.27002,1034.550049
1067.280029,1208.219971,1039.76001
1076.469971,1202.400024,1047.670044
1067.920044,1213.599976,1024.349976
1294.400024,1204.48999,1031.709961
1319.300049,1207.209961,1020.559998
1282.420044,1200.699951,1028.569946
1285.400024,1215.060059,1008.359985
1317.48999,1214.060059,1037.880005
1291.290039,1208.97998,1043.290039
1287.579956,1198.540039,1048.099976
1312.569946,1184.97998,1020.099976
1310.949951,1212.530029,1045.439941
1283.920044,1197.27002,1041.219971
1188.550049,1186.290039,1034.199951
1213.709961,1199.930054,1020.559998
1200.400024,1200.410034,1030.060059
1203.72998,1188.420044,1033.329956
1205.22998,1207.579956,1031.969971
1219.410034,1205.170044,1040.819946
1195.920044,1195.050049,1020.369995
1233.869995,1191.469971,1050.939941
1189.27002,1196.380005,1021.950012
1214.079956,1195.75,1024.959961
1210.420044,1199.339966,1021.419983
1189.040039,1207.560059,1041.329956
1193.699951,1205.910034,1035.790039
1218.130005,1212.160034,1031.930054
1204.180054,1207.5,1047.150024
1189.310059,1207.410034,1016.23999
1207.599976,1188.160034,1031.209961
1233.780029,1207.719971,1031.910034
1222.079956,1199.949951,1002.369995
1207.560059,1193.439941,1049.060059
1230.22998,1203.680054,1004.609985
1188.689941,1182.579956,1034.349976
1192.189941,1208.130005,1048.650024
1220.689941,1206.560059,1040.719971
1208.459961,1201.97998,1026.26001
1191.73999,1209.630005,1027.77002
1197.319946,1220.579956,1036.140015
1224.119995,1197.400024,1037.27002
1200.869995,1205.300049,1066.76001
1205.800049,1202.959961,1016.650024
1202.380005,1206.530029,1037.790039
1196.48999,1210.349976,1007.73999
1193.199951,1210.569946,1044.880005
1199.869995,1205.030029,1045.140015
1164.920044,1206.189941,1041.910034
1195.51001,1215.369995,1036.290039
1175.040039,1203.359985,1002.859985
1198.949951,1205.98999,1012.01001
1227.48999,1195.699951,1057.300049
1192.890015,1205.449951,1040.97998
1200.839966,1195.77002,1049.23999
1190.98999,1184.97998,1033.780029
1177.130005,1185.439941,1067.160034
1207.209961,1201.650024,1071.150024
1178.660034,1188.98999,1073
1188.969971,1185.5,1037.140015
1196.709961,1205.780029,1044.51001
1172.160034,1184.02002,1068.160034
1203.140015,1203.780029,1029.530029
1202.160034,1205.920044,1054.949951
1193.439941,1195.170044,1032.849976
1196.77002,1195.619995,1048.170044
1148.420044,1200.439941,1149.449951
1184.48999,1205.560059,1138.180054
1183.579956,1193.810059,1115.030029
1206.630005,1196.51001,1113.219971
1190.319946,1191.390015,1130.5
1192.910034,1206.540039,1160.300049
1170.939941,1210.329956,1125.51001
1168.829956,1180.900024,1166.930054
1254.209961,1214.98999,1170.069946
1177.73999,1209.5,1150.319946
1196.880005,1207.339966,1153.900024
1215.890015,1186.459961,1130.069946
1188.900024,1193.109985,1134.910034
1171.400024,1198.72998,1129.869995
1185.23999,1205.22998,1130.349976
1190.670044,1184.52002,1157.180054
1196.27002,1189.640015,1133.599976
1168.329956,1186.47998,1115.880005
1165.859985,1196.72998,1092.25
1177.369995,1185.439941,1151.01001
1163.969971,1185.900024,1159.430054
1174.060059,1178.180054,1128.099976
1194.73999,1195.140015,1129.609985
1195.290039,1193.569946,1100.75
1176,1187.859985,1102.540039
1167.579956,1173.949951,1126.469971
1170,1184.290039,1184.849976
1194.51001,1203.569946,1112.630005
1194.030029,1205.560059,1159.150024
1170.310059,1181.209961,1144.040039
1196.22998,1165.439941,1114.790039
1149.209961,1180.400024,1106.199951
1167.890015,1164.180054,1138.420044
1167.73999,1158.569946,1142.189941
1201.329956,1165.050049,1130.680054
1174.060059,1152.51001,1146.290039
1175.390015,1152.030029,1115.439941
1171.72998,1171.890015,1136.170044
1193.349976,1167.290039,1122
1183.449951,1164.920044,1162.569946
1145.939941,1144.300049,1140.310059
1173.98999,1163.130005,1094.119995
1191.73999,1170.869995,1141.579956
1139.599976,1165.219971,1132.77002
1177,1174.790039,1142.709961
1150.800049,1193.430054,1144.609985
1161.040039,1193.76001,1179.75
1156.709961,1177.689941,1154.699951
1151.040039,1192.599976,1110.52002
1178.810059,1189.77002,1160.390015
1184.589966,1190.030029,1161.680054
1153.040039,1200.040039,1158.800049
1214.099976,1185.199951,1149.599976
1182.280029,1176.959961,1141.339966
1211.640015,1196.75,1156.339966
1210.660034,1181.27002,1177.699951
1152.410034,1174.780029,1112.540039
1195.810059,1193.869995,1140.400024
1232.339966,1203.160034,1126.780029
1176.51001,1189.640015,1113.73999
1192.76001,1198.98999,1150.170044
1213.189941,1191.910034,1128.219971
1178.73999,1200.410034,1096.349976
1151.469971,1182.800049,1147.030029
1221.930054,1196.790039,1131.459961
1187.01001,1155.939941,1166.25
1211.640015,1136.910034,1134.079956
1223.420044,1138.329956,1152.430054
1188.430054,1125.650024,1166.410034
1193.040039,1123.310059,1136.219971
1207.540039,1130.859985,1163.829956
1172.030029,1120.829956,1130.73999
1190.819946,1133.780029,1087.560059
1174.969971,978.0800171,1141.439941
1179.900024,974.9000244,1175.76001
1131.790039,971.7600098,1164.569946
1175.079956,981.9699707,1161.300049
1215.469971,967.039978,1136.300049
1188.619995,958.3400269,1136.849976
1182.25,947.3800049,1156.900024
1170.329956,964.5300293,1129.109985
1189.930054,957.9400024,1135.079956
1181.030029,951.7199707,1157.27002
1202.77002,962.0700073,1117.949951
1205.930054,1014.890015,1114.180054
1188.77002,1006.609985,1176
1194.699951,1003.48999,1138.550049
1189.819946,1004.200012,1140.030029
1197.709961,797.3699951,1168.76001
1171.400024,828.289978,1133.48999
1231.819946,644.0999756,1166.280029
1191.339966,663.2600098,1138.109985
1211.140015,652.6699829,1133.030029
1163.98999,653.0300293,1196.72998
1173.359985,658.0700073,1174.300049
1193.680054,660.5499878,1108.98999
1184.630005,735.5300293,1098.790039
1193.630005,904.7600098,1120.780029
1214.800049,900.9899902,1174.150024
1209.369995,617.2000122,1139.530029
1174.339966,755.4799805,1138.920044
1204.290039,709.289978,1174.280029
1168.26001,723.8800049,1172.119995
1180.160034,718.9400024,1125.290039
1169.97998,711.9299927,1164.050049
1166.339966,710.9799805,1149.290039
1160.97998,705.2700195,1127.560059
1196.640015,704.4400024,1143.579956
1178.880005,698.0100098,1204.400024
1204.310059,705.9000244,1131.030029
1203.400024,716.3099976,1142.27002
1169.73999,720.3900146,1131.420044
1185.109985,719.3099976,1165.050049
1194.930054,715.539978,1096.369995
1224.910034,703.7700195,1150.839966
1124.660034,698.2399902,1149.48999
1177.390015,710.2999878,1111.060059
1142.26001,711.6500244,1155.180054
1207.780029,701.1500244,1100.329956
1204.680054,704.7700195,1144.390015
1174.01001,709.2399902,1120.73999
1190.599976,715.5700073,1152.170044
1249.699951,710.2800293,1088.079956
1232.630005,867.9799805,1125.119995
1219.569946,955.6799927,1150.189941
1255.130005,943.4899902,1156.51001
1239.910034,941.3699951,1132.829956
1235.660034,417.9599915,1145.26001
1258.719971,464.519989,1133.819946
1242.290039,460.1000061,1118.170044
1228.689941,465.9500122,1111.079956
1232.430054,460.4100037,1155.719971
1226.930054,460.9200134,1137.829956
1234.189941,460.8800049,1249.280029
1227.160034,459.5100098,1182.52002
1260.839966,452.269989,1152.47998
1228.560059,733.6599731,1096.040039
1251.650024,746.0900269,1178.150024
1234.030029,735.0300293,1236.219971
